survey_id,date,id,tree_code,site,zone,plot,genus,spp,tree_number,trunk_number,dbh_mm,health,alive,standing,old_tag,notes
May_2024,5/21/2024,Jun.vir.186.1,L0_186_Jun,BRNV,L,0,Jun,vir,186,1,83,0,0,1,,zombie???
May_2024,5/21/2024,Pin.tae.187.1,L0_187_Pin,BRNV,L,0,Pin,tae,187,1,369,3,1,1,,
May_2024,5/21/2024,Jun.vir.188.1,L0_188_Jun,BRNV,L,0,Jun,vir,188,1,113,7,1,1,,
May_2024,5/21/2024,Jun.vir.189.1,L0_189_Jun,BRNV,L,0,Jun,vir,189,1,388,6,1,1,,
May_2024,5/21/2024,Jun.vir.190.1,L0_190_Jun,BRNV,L,0,Jun,vir,190,1,147,7,1,1,,
May_2024,5/21/2024,Jun.vir.191.1,L0_191_Jun,BRNV,L,0,Jun,vir,191,1,69,1,1,1,,
May_2024,5/21/2024,Jun.vir.192.1,L0_192_Jun,BRNV,L,0,Jun,vir,192,1,,,,,,
May_2024,5/21/2024,Jun.vir.193.1,L0_193_Jun,BRNV,L,0,Jun,vir,193,1,,,,,,
May_2024,5/21/2024,Jun.vir.194.1,L0_194_Jun,BRNV,L,0,Jun,vir,194,1,,,,,,
May_2024,5/21/2024,Jun.vir.475.1,L0_475_Jun,BRNV,L,0,Jun,vir,475,1,147,5,1,1,,
May_2024,5/21/2024,Jun.vir.476.1,L0_476_Jun,BRNV,L,0,Jun,vir,476,1,123,7,1,1,,
May_2024,5/21/2024,Nys.syl.477.1,L0_477_Nys,BRNV,L,0,Nys,syl,477,1,105,2,1,1,,
May_2024,5/21/2024,Jun.vir.478.1,L0_478_Jun,BRNV,L,0,Jun,vir,478,1,110,4,1,1,,
May_2024,5/21/2024,Pin .tae.905.1,L0_905_Pin ,BRNV,L,0,Pin ,tae,905,1,,0,0,0,,
May_2024,5/21/2024,Pin .tae.921.1,L0_921_Pin ,BRNV,L,0,Pin ,tae,921,1,,,,,,
May_2024,5/21/2024,Pin .tae.922.1,L0_922_Pin ,BRNV,L,0,Pin ,tae,922,1,,0,0,0,,
May_2024,5/21/2024,Jun.vir.970.1,L0_970_Jun,BRNV,L,0,Jun,vir,970,1,126,2,1,1,,
May_2024,5/21/2024,Jun.vir.971.1,L0_971_Jun,BRNV,L,0,Jun,vir,971,1,49,6,1,1,,ivy
May_2024,5/21/2024,Pin.tae.989.1,L0_989_Pin,BRNV,L,0,Pin,tae,989,1,200,0,0,1,,
May_2024,5/21/2024,Jun.vir.188.2,L0_188_Jun,BRNV,L,0,Jun,vir,188,2,98,5,1,1,,
May_2024,5/21/2024,Jun.vir.916.1,L0_916_Jun,BRNV,L,0,Jun,vir,916,1,94,7,1,1,,
May_2024,5/21/2024,Mor.Cor.5152.1,L0_5152_Mor,BRNV,L,0,Mor,Cor,5152,1,53,4,1,1,,added
May_2024,5/20/2024,que.bic.5298.1,R1_5298_que,BRNV,R,1,que,bic,5298,1,304,7,1,1,,
May_2024,5/20/2024,ace.rub.930.1,R1_930_ace,BRNV,R,1,ace,rub,930,1,258,6,1,1,,
May_2024,5/20/2024,ile.opa.932.1,R1_932_ile,BRNV,R,1,ile,opa,932,1,126,9,1,1,,
May_2024,5/20/2024,pin.tae.935.1,R1_935_pin,BRNV,R,1,pin,tae,935,1,660,6,1,1,,
May_2024,5/20/2024,ile.opa.936.1,R1_936_ile,BRNV,R,1,ile,opa,936,1,133,9,1,1,,
May_2024,5/20/2024,ace.rub.937.1,R1_937_ace,BRNV,R,1,ace,rub,937,1,439,10,1,1,,
May_2024,5/20/2024,ile.opa.938.1,R1_938_ile,BRNV,R,1,ile,opa,938,1,218,10,1,1,,
May_2024,5/20/2024,ace.rub.939.1,R1_939_ace,BRNV,R,1,ace,rub,939,1,137,7,1,1,,
May_2024,5/20/2024,ile.opa.940.1,R1_940_ile,BRNV,R,1,ile,opa,940,1,65,8,1,1,,
May_2024,5/20/2024,ile.opa.941.1,R1_941_ile,BRNV,R,1,ile,opa,941,1,134,9,1,1,,
May_2024,5/20/2024,liq.sty.942.1,R1_942_liq,BRNV,R,1,liq,sty,942,1,173,5,1,1,,
May_2024,5/20/2024,ile.opa.943.1,R1_943_ile,BRNV,R,1,ile,opa,943,1,81,8,1,1,,
May_2024,5/20/2024,ace.rub.944.1,R1_944_ace,BRNV,R,1,ace,rub,944,1,150,9,1,1,,
May_2024,5/20/2024,ile.opa.945.1,R1_945_ile,BRNV,R,1,ile,opa,945,1,93,8,1,1,,
May_2024,5/20/2024,ace.rub.946.1,R1_946_ace,BRNV,R,1,ace,rub,946,1,86,8,1,1,,
May_2024,5/20/2024,liq.sty.947.1,R1_947_liq,BRNV,R,1,liq,sty,947,1,218,7,1,1,,
May_2024,5/20/2024,ile.opa.948.1,R1_948_ile,BRNV,R,1,ile,opa,948,1,100,9,1,1,,
May_2024,5/20/2024,liq.sty.949.1,R1_949_liq,BRNV,R,1,liq,sty,949,1,454,7,1,1,,
May_2024,5/20/2024,uni.app.950.1,R1_950_uni,BRNV,R,1,uni,app,950,1,,0,0,0,,
May_2024,5/20/2024,liq.sty.951.1,R1_951_liq,BRNV,R,1,liq,sty,951,1,208,6,1,1,,
May_2024,5/20/2024,ace.rub.952.1,R1_952_ace,BRNV,R,1,ace,rub,952,1,152,8,1,1,,
May_2024,5/20/2024,ile.opa.953.1,R1_953_ile,BRNV,R,1,ile,opa,953,1,156,9,1,1,,
May_2024,5/20/2024,pin.tae.954.1,R1_954_pin,BRNV,R,1,pin,tae,954,1,638,7,1,1,,
May_2024,5/20/2024,ile.opa.955.1,R1_955_ile,BRNV,R,1,ile,opa,955,1,138,9,1,1,,
May_2024,5/20/2024,pin.tae.956.1,R1_956_pin,BRNV,R,1,pin,tae,956,1,451,7,1,1,,
May_2024,5/20/2024,ile.opa.957.1,R1_957_ile,BRNV,R,1,ile,opa,957,1,141,10,1,1,,
May_2024,5/20/2024,ile.opa.958.1,R1_958_ile,BRNV,R,1,ile,opa,958,1,74,8,1,1,,
May_2024,5/20/2024,ile.opa.959.1,R1_959_ile,BRNV,R,1,ile,opa,959,1,108,8,1,1,,
May_2024,5/20/2024,ace.rub.960.1,R1_960_ace,BRNV,R,1,ace,rub,960,1,182,9,1,1,,
May_2024,5/20/2024,ace.rub.961.1,R1_961_ace,BRNV,R,1,ace,rub,961,1,156,9,1,1,,
May_2024,5/20/2024,liq.sty.962.1,R1_962_liq,BRNV,R,1,liq,sty,962,1,328,9,1,1,,
May_2024,5/20/2024,uni.spp.963.1,R1_963_uni,BRNV,R,1,uni,spp,963,1,71,0,0,1,,
May_2024,5/20/2024,ile.opa.983.1,R1_983_ile,BRNV,R,1,ile,opa,983,1,103,4,1,1,,
May_2024,5/20/2024,ace.rub.984.1,R1_984_ace,BRNV,R,1,ace,rub,984,1,170,9,1,1,,
May_2024,5/20/2024,ile.opa.938.1,R1_938_ile,BRNV,R,1,ile,opa,938,1,212,10,1,1,,
May_2024,5/20/2024,ile.opa.958.1,R1_958_ile,BRNV,R,1,ile,opa,958,1,44,9,1,1,,
May_2024,5/20/2024,ile.opa.601.1,R2_601_ile,BRNV,R,2,ile,opa,601,1,185,10,1,1,,
May_2024,5/20/2024,car.tom.602.1,R2_602_car,BRNV,R,2,car,tom,602,1,80,9,1,1,,
May_2024,5/20/2024,car.tom.603.1,R2_603_car,BRNV,R,2,car,tom,603,1,101,8,1,1,,
May_2024,5/20/2024,ile.opa.604.1,R2_604_ile,BRNV,R,2,ile,opa,604,1,94,8,1,1,,
May_2024,5/20/2024,uni.spp.605.1,R2_605_uni,BRNV,R,2,uni,spp,605,1,128,0,0,1,,
May_2024,5/20/2024,ile.opa.606.1,R2_606_ile,BRNV,R,2,ile,opa,606,1,122,8,1,1,,
May_2024,5/20/2024,liq.sty.607.1,R2_607_liq,BRNV,R,2,liq,sty,607,1,306,7,1,1,,
May_2024,5/20/2024,ile.opa.608.1,R2_608_ile,BRNV,R,2,ile,opa,608,1,93,9,1,1,,
May_2024,5/20/2024,pin.tae.609.1,R2_609_pin,BRNV,R,2,pin,tae,609,1,613,8,1,1,,
May_2024,5/20/2024,ace.rub.610.1,R2_610_ace,BRNV,R,2,ace,rub,610,1,350,5,1,1,,
May_2024,5/20/2024,ile.opa.611.1,R2_611_ile,BRNV,R,2,ile,opa,611,1,141,9,1,1,,
May_2024,5/20/2024,ile.opa.612.1,R2_612_ile,BRNV,R,2,ile,opa,612,1,196,10,1,1,,
May_2024,5/20/2024,ace.rub.613.1,R2_613_ace,BRNV,R,2,ace,rub,613,1,315,9,1,1,,
May_2024,5/20/2024,uni.spp.614.1,R2_614_uni,BRNV,R,2,uni,spp,614,1,107,0,0,1,,
May_2024,5/20/2024,ile.opa.615.1,R2_615_ile,BRNV,R,2,ile,opa,615,1,110,9,1,1,,
May_2024,5/20/2024,ile.opa.616.1,R2_616_ile,BRNV,R,2,ile,opa,616,1,84,9,1,1,,
May_2024,5/20/2024,ile.opa.617.1,R2_617_ile,BRNV,R,2,ile,opa,617,1,76,7,1,1,,
May_2024,5/20/2024,ile.opa.618.1,R2_618_ile,BRNV,R,2,ile,opa,618,1,157,10,1,1,,
May_2024,5/20/2024,pin.tae.619.1,R2_619_pin,BRNV,R,2,pin,tae,619,1,520,7,1,1,,
May_2024,5/20/2024,pin.tae.620.1,R2_620_pin,BRNV,R,2,pin,tae,620,1,500,9,1,1,,
May_2024,5/20/2024,ile.opa.621.1,R2_621_ile,BRNV,R,2,ile,opa,621,1,61,7,1,1,,
May_2024,5/20/2024,ile.opa.622.1,R2_622_ile,BRNV,R,2,ile,opa,622,1,64,7,1,1,,
May_2024,5/20/2024,nys.syl.623.1,R2_623_nys,BRNV,R,2,nys,syl,623,1,130,6,1,1,,
May_2024,5/20/2024,ile.opa.624.1,R2_624_ile,BRNV,R,2,ile,opa,624,1,157,10,1,1,,
May_2024,5/20/2024,ile.opa.625.1,R2_625_ile,BRNV,R,2,ile,opa,625,1,64,7,1,1,,
May_2024,5/20/2024,ile.opa.626.1,R2_626_ile,BRNV,R,2,ile,opa,626,1,170,10,1,1,,
May_2024,5/20/2024,uni.spp.627.1,R2_627_uni,BRNV,R,2,uni,spp,627,1,,0,0,0,,
May_2024,5/20/2024,pin.tae.628.1,R2_628_pin,BRNV,R,2,pin,tae,628,1,60,0,0,1,,
May_2024,5/20/2024,pin.tae.629.1,R2_629_pin,BRNV,R,2,pin,tae,629,1,491,7,1,1,,
May_2024,5/20/2024,ile.opa.630.1,R2_630_ile,BRNV,R,2,ile,opa,630,1,29,4,1,1,,
May_2024,5/20/2024,ile.opa.631.1,R2_631_ile,BRNV,R,2,ile,opa,631,1,48,8,1,1,,
May_2024,5/20/2024,mor.cer.632.1,R2_632_mor,BRNV,R,2,mor,cer,632,1,91,5,1,1,,
May_2024,5/20/2024,cor.flo.633.1,R2_633_cor,BRNV,R,2,cor,flo,633,1,96,9,1,1,,
May_2024,5/20/2024,ile.opa.634.1,R2_634_ile,BRNV,R,2,ile,opa,634,1,113,10,1,1,,
May_2024,5/20/2024,cor.flo.635.1,R2_635_cor,BRNV,R,2,cor,flo,635,1,90,8,1,1,,
May_2024,5/20/2024,pin.tae.640.1,R3_640_pin,BRNV,R,3,pin,tae,640,1,456,8,1,1,,
May_2024,5/20/2024,ace.rub.641.1,R3_641_ace,BRNV,R,3,ace,rub,641,1,196,9,1,1,,
May_2024,5/20/2024,pin.tae.642.1,R3_642_pin,BRNV,R,3,pin,tae,642,1,449,7,1,1,,
May_2024,5/20/2024,pin.tae.643.1,R3_643_pin,BRNV,R,3,pin,tae,643,1,663,9,1,1,,
May_2024,5/20/2024,ile.opa.644.1,R3_644_ile,BRNV,R,3,ile,opa,644,1,65,7,1,1,,
May_2024,5/20/2024,pin.tae.645.1,R3_645_pin,BRNV,R,3,pin,tae,645,1,364,7,1,1,,
May_2024,5/20/2024,pin.tae.646.1,R3_646_pin,BRNV,R,3,pin,tae,646,1,391,7,1,1,,
May_2024,5/20/2024,ace.rub.647.1,R3_647_ace,BRNV,R,3,ace,rub,647,1,159,8,1,1,,
May_2024,5/20/2024,nys.syl.648.1,R3_648_nys,BRNV,R,3,nys,syl,648,1,79,9,1,1,,
May_2024,5/20/2024,ace.rub.649.1,R3_649_ace,BRNV,R,3,ace,rub,649,1,62,4,1,1,,
May_2024,5/20/2024,vac.spp.650.1,R3_650_vac,BRNV,R,3,vac,spp,650,1,28,9,1,1,,
May_2024,5/20/2024,nys.syl.659.1,R3_659_nys,BRNV,R,3,nys,syl,659,1,171,8,1,1,,
May_2024,5/20/2024,ace.rub.663.1,R3_663_ace,BRNV,R,3,ace,rub,663,1,199,9,1,1,,
May_2024,5/20/2024,nys.syl.664.1,R3_664_nys,BRNV,R,3,nys,syl,664,1,49,6,1,1,,
May_2024,5/20/2024,vac.app.665.1,R3_665_vac,BRNV,R,3,vac,app,665,1,35,4,1,1,,
May_2024,5/20/2024,ace.rub.671.1,R3_671_ace,BRNV,R,3,ace,rub,671,1,65,9,1,1,,
May_2024,5/20/2024,ace.rub.672.1,R3_672_ace,BRNV,R,3,ace,rub,672,1,125,9,1,1,,
May_2024,5/20/2024,uni.spp.673.1,R3_673_uni,BRNV,R,3,uni,spp,673,1,30,0,0,1,,
May_2024,5/20/2024,ace.rub.674.1,R3_674_ace,BRNV,R,3,ace,rub,674,1,140,9,1,1,,
May_2024,5/20/2024,pin.tae.675.1,R3_675_pin,BRNV,R,3,pin,tae,675,1,587,8,1,1,,
May_2024,5/20/2024,ace.rub.676.1,R3_676_ace,BRNV,R,3,ace,rub,676,1,121,5,1,1,,
May_2024,5/20/2024,nys.syl.677.1,R3_677_nys,BRNV,R,3,nys,syl,677,1,53,9,1,1,,
May_2024,5/20/2024,nys.syl.678.1,R3_678_nys,BRNV,R,3,nys,syl,678,1,76,9,1,1,,
May_2024,5/20/2024,ace.rub.679.1,R3_679_ace,BRNV,R,3,ace,rub,679,1,200,9,1,1,,
May_2024,5/20/2024,pin.tae.680.1,R3_680_pin,BRNV,R,3,pin,tae,680,1,464,7,1,1,,
May_2024,5/20/2024,ace.rub.681.1,R3_681_ace,BRNV,R,3,ace,rub,681,1,267,9,1,1,,
May_2024,5/20/2024,ile.opa.682.1,R3_682_ile,BRNV,R,3,ile,opa,682,1,36,7,1,0,,
May_2024,5/20/2024,pin.tae.683.1,R3_683_pin,BRNV,R,3,pin,tae,683,1,336,7,1,1,,
May_2024,5/20/2024,ile.opa.684.1,R3_684_ile,BRNV,R,3,ile,opa,684,1,101,10,1,1,,
May_2024,5/20/2024,ile.opa.685.1,R3_685_ile,BRNV,R,3,ile,opa,685,1,62,8,1,1,,
May_2024,5/20/2024,liq.sty.686.1,R3_686_liq,BRNV,R,3,liq,sty,686,1,294,9,1,1,,
May_2024,5/20/2024,vac.spp.687.1,R3_687_vac,BRNV,R,3,vac,spp,687,1,43,8,1,1,,
May_2024,5/20/2024,ace.rub.688.1,R3_688_ace,BRNV,R,3,ace,rub,688,1,69,9,1,1,,
May_2024,5/20/2024,liq.sty.689.1,R3_689_liq,BRNV,R,3,liq,sty,689,1,230,8,1,1,,
May_2024,5/20/2024,ace.rub.690.1,R3_690_ace,BRNV,R,3,ace,rub,690,1,139,10,1,1,,
May_2024,5/20/2024,pin.tae.691.1,R3_691_pin,BRNV,R,3,pin,tae,691,1,578,8,1,1,,
May_2024,5/20/2024,ile.opa.5201.1,R4_5201_ile,BRNV,R,4,ile,opa,5201,1,125,10,1,1,,
May_2024,5/20/2024,jun.vir.5202.1,R4_5202_jun,BRNV,R,4,jun,vir,5202,1,63,0,0,1,,
May_2024,5/20/2024,nys.syl.5203.1,R4_5203_nys,BRNV,R,4,nys,syl,5203,1,141,8,1,1,,
May_2024,5/20/2024,pin.tae.5204.1,R4_5204_pin,BRNV,R,4,pin,tae,5204,1,490,7,1,1,,
May_2024,5/20/2024,pin.tae.5205.1,R4_5205_pin,BRNV,R,4,pin,tae,5205,1,523,5,1,1,,
May_2024,5/20/2024,pin.tae.5206.1,R4_5206_pin,BRNV,R,4,pin,tae,5206,1,244,0,0,1,,
May_2024,5/20/2024,pin.tae.5207.1,R4_5207_pin,BRNV,R,4,pin,tae,5207,1,524,7,1,1,,
May_2024,5/20/2024,nys.syl.5208.1,R4_5208_nys,BRNV,R,4,nys,syl,5208,1,126,10,1,1,,
May_2024,5/20/2024,ile.opa.5210.1,R4_5210_ile,BRNV,R,4,ile,opa,5210,1,108,4,1,1,,
May_2024,5/20/2024,uni.app.5211.1,R4_5211_uni,BRNV,R,4,uni,app,5211,1,141,0,0,0,,
May_2024,5/20/2024,ile.opa.5213.1,R4_5213_ile,BRNV,R,4,ile,opa,5213,1,86,7,1,1,,
May_2024,5/20/2024,que.mic.5214.1,R4_5214_que,BRNV,R,4,que,mic,5214,1,350,9,1,1,,
May_2024,5/20/2024,nys.syl.5215.1,R4_5215_nys,BRNV,R,4,nys,syl,5215,1,99,0,0,1,,
May_2024,5/20/2024,ile.opa.5216.1,R4_5216_ile,BRNV,R,4,ile,opa,5216,1,82,10,1,1,,
May_2024,5/20/2024,ile.opa.5217.1,R4_5217_ile,BRNV,R,4,ile,opa,5217,1,98,9,1,1,,
May_2024,5/20/2024,nys.syl.5218.1,R4_5218_nys,BRNV,R,4,nys,syl,5218,1,45,0,0,0,,
May_2024,5/20/2024,pin.tae.5219.1,R4_5219_pin,BRNV,R,4,pin,tae,5219,1,449,7,1,1,,
May_2024,5/20/2024,ace.rub.5220.1,R4_5220_ace,BRNV,R,4,ace,rub,5220,1,150,8,1,1,,
May_2024,5/20/2024,ile.opa.5222.1,R4_5222_ile,BRNV,R,4,ile,opa,5222,1,66,10,1,1,,
May_2024,5/20/2024,liq.sty.5223.1,R4_5223_liq,BRNV,R,4,liq,sty,5223,1,273,8,1,1,,
May_2024,5/20/2024,ile.opa.5224.1,R4_5224_ile,BRNV,R,4,ile,opa,5224,1,125,10,1,1,,
May_2024,5/20/2024,ace.rub.5225.1,R4_5225_ace,BRNV,R,4,ace,rub,5225,1,207,9,1,1,,
May_2024,5/20/2024,ile.opa.5226.1,R4_5226_ile,BRNV,R,4,ile,opa,5226,1,123,10,1,1,,
May_2024,5/20/2024,ace.rub.5227.1,R4_5227_ace,BRNV,R,4,ace,rub,5227,1,100,6,1,1,,
May_2024,5/20/2024,pin.tae.5228.1,R4_5228_pin,BRNV,R,4,pin,tae,5228,1,345,7,1,1,,
May_2024,5/20/2024,ile.opa.5229.1,R4_5229_ile,BRNV,R,4,ile,opa,5229,1,169,10,1,1,,
May_2024,5/20/2024,ace.rub.5230.1,R4_5230_ace,BRNV,R,4,ace,rub,5230,1,235,9,1,1,,
May_2024,5/20/2024,ile.opa.5231.1,R4_5231_ile,BRNV,R,4,ile,opa,5231,1,96,10,1,1,,
May_2024,5/20/2024,pin.tae.5232.1,R4_5232_pin,BRNV,R,4,pin,tae,5232,1,517,6,1,1,,
May_2024,5/20/2024,pin.tae.5233.1,R4_5233_pin,BRNV,R,4,pin,tae,5233,1,405,8,1,1,,
May_2024,5/20/2024,pin.tae.5234.1,R4_5234_pin,BRNV,R,4,pin,tae,5234,1,164,0,0,1,,
May_2024,5/20/2024,ile.opa.5235.1,R4_5235_ile,BRNV,R,4,ile,opa,5235,1,57,8,1,1,,
May_2024,5/20/2024,nys.syl.5236.1,R4_5236_nys,BRNV,R,4,nys,syl,5236,1,93,8,1,1,,
May_2024,5/20/2024,pin.tae.5237.1,R4_5237_pin,BRNV,R,4,pin,tae,5237,1,374,6,1,1,,
May_2024,5/23/2024,pin.tae.101.1,H3_101_pin,BRNV,H,3,pin,tae,101,1,,,,,,
May_2024,5/23/2024,nys.syl.153.1,H3_153_nys,BRNV,H,3,nys,syl,153,1,232,7,1,1,,
May_2024,5/23/2024,pin.tae.154.1,H3_154_pin,BRNV,H,3,pin,tae,154,1,266,3,1,1,,
May_2024,5/23/2024,nys.syl.155.1,H3_155_nys,BRNV,H,3,nys,syl,155,1,270,9,1,1,,
May_2024,5/23/2024,pin.tae.156.1,H3_156_pin,BRNV,H,3,pin,tae,156,1,324,4,1,1,,out of plot
May_2024,5/23/2024,pin.tae.157.1,H3_157_pin,BRNV,H,3,pin,tae,157,1,420,5,1,1,,
May_2024,5/23/2024,pin.tae.158.1,H3_158_pin,BRNV,H,3,pin,tae,158,1,336,3,1,1,,
May_2024,5/23/2024,nys.syl.159.1,H3_159_nys,BRNV,H,3,nys,syl,159,1,401,10,1,1,,
May_2024,5/23/2024,pin.tae.160.1,H3_160_pin,BRNV,H,3,pin,tae,160,1,407,4,1,1,,
May_2024,5/23/2024,pin.tae.161.1,H3_161_pin,BRNV,H,3,pin,tae,161,1,235,,,,,
May_2024,5/23/2024,ile.opa.162.1,H3_162_ile,BRNV,H,3,ile,opa,162,1,95,9,1,1,,
May_2024,5/23/2024,pin.tae.163.1,H3_163_pin,BRNV,H,3,pin,tae,163,1,361,4,1,1,,
May_2024,5/23/2024,pin.tae.164.1,H3_164_pin,BRNV,H,3,pin,tae,164,1,470,5,1,1,,
May_2024,5/23/2024,ile.opa.165.1,H3_165_ile,BRNV,H,3,ile,opa,165,1,51,7,1,1,,
May_2024,5/23/2024,ile.opa.166.1,H3_166_ile,BRNV,H,3,ile,opa,166,1,131,8,1,1,,
May_2024,5/23/2024,pin.tae.167.1,H3_167_pin,BRNV,H,3,pin,tae,167,1,389,5,1,1,,
May_2024,5/23/2024,nys.syl.168.1,H3_168_nys,BRNV,H,3,nys,syl,168,1,286,9,1,1,,
May_2024,5/23/2024,pin.tae.169.1,H3_169_pin,BRNV,H,3,pin,tae,169,1,342,5,1,1,,
May_2024,5/23/2024,pin.tae.170.1,H3_170_pin,BRNV,H,3,pin,tae,170,1,,0,0,1,,
May_2024,5/23/2024,pin.tae.171.1,H3_171_pin,BRNV,H,3,pin,tae,171,1,332,5,1,1,,
May_2024,5/23/2024,pin.tae.172.1,H3_172_pin,BRNV,H,3,pin,tae,172,1,434,6,1,1,,
May_2024,5/23/2024,pin.tae.173.1,H3_173_pin,BRNV,H,3,pin,tae,173,1,416,4,1,1,,
May_2024,5/23/2024,pin.tae.174.1,H3_174_pin,BRNV,H,3,pin,tae,174,1,306,4,1,1,,
May_2024,5/23/2024,pin.tae.509.1,H3_509_pin,BRNV,H,3,pin,tae,509,1,,0,0,1,,
May_2024,5/23/2024,pin.tae.510.1,H3_510_pin,BRNV,H,3,pin,tae,510,1,,,,,,
May_2024,5/23/2024,pin.tae.511.1,H3_511_pin,BRNV,H,3,pin,tae,511,1,49,0,0,1,,
May_2024,5/23/2024,uni.spp.512.1,H3_512_uni,BRNV,H,3,uni,spp,512,1,,0,0,1,,
May_2024,5/23/2024,uni.spp.575.1,H3_575_uni,BRNV,H,3,uni,spp,575,1,,,,,,
May_2024,5/23/2024,pin.tae.5842.1,H3_5842_pin,BRNV,H,3,pin,tae,5842,1,193,0,0,1,,
May_2024,5/23/2024,nys.syl.153.2,H3_153_nys,BRNV,H,3,nys,syl,153,2,131,9,1,1,,
May_2024,5/23/2024,uni.spp.512.2,H3_512_uni,BRNV,H,3,uni,spp,512,2,,,,,,
May_2024,5/23/2024,nys.syl.153.3,H3_153_nys,BRNV,H,3,nys,syl,153,3,131,7,1,1,,
