date,zone,plot,replicate,wet_weight_g,dry_weight_g,percentage_moisture,EC_uS/cm,EC_ms/cm,carbon,nitrogen,notes
6/11/22,M,M0,B,22.5,8.29,63.16,1622,1.622,16.59,0.6039,
6/11/22,M,M0,C,18.2,5.66,68.9,1699,1.699,28.72,0.8196,
6/11/22,M,M1,A,13.9,2.96,78.71,4924,4.924,45.62,1.223,
6/11/22,M,M1,B,12,2.28,81,3066,3.066,43.29,1.573,
6/11/22,M,M1,C,11,2.4,78.18,2262,2.262,45.74,1.273,
6/11/22,M,M2,A,8.1,1.89,76.67,1378,1.378,47.82,1.001,
6/11/22,M,M2,B,12.4,2.73,77.98,2592,2.592,42.76,1.269,
6/11/22,M,M2,C,9.2,1.93,79.02,2818,2.818,39.25,1.236,
6/11/22,M,M3,B,12.3,2.87,76.67,NA,NA,30.39,1.063,unable to run  EC
6/11/22,M,M3,A,12.5,2.23,82.16,3892,3.892,41.73,1.465,
6/11/22,M,M3,C,18.3,3.84,79.02,5210,5.21,27.52,0.8873,
6/11/22,M,M4,A,9.9,2.02,79.6,5948,5.948,44.25,1.402,
6/11/22,M,M4,B,12.9,1.92,85.12,4452,4.452,23.57,0.5612,
6/11/22,M,M4,C,9.4,2.81,70.11,1842,1.842,45.78,0.9852,
6/11/22,M,M5,A,8,1.91,76.13,822,0.822,46.08,1.399,
6/11/22,M,M5,B,9,1.78,80.22,4504,4.504,35.24,1.202,
6/11/22,M,M5,C,11.8,2.3,80.51,3240,3.24,41.42,1.485,
6/11/22,M,M6,A,17.7,4.81,72.82,3460,3.46,26.02,1.027,
6/11/22,M,M6,B,10.1,2.87,71.58,3742,3.742,26.1,0.9971,
6/11/22,M,M6,C,10.3,1.77,82.82,2718,2.718,42.98,1.424,
6/11/22,M,M7,A,16.6,3.31,80.06,3890,3.89,43.66,1.44,
6/11/22,M,M7,B,17.6,4.51,74.38,4146,4.146,29.08,1.09,
6/11/22,M,M7,C,11.6,2.85,75.43,1560,1.56,46.04,1.094,
6/11/2022,L,L0,C,28.2,11.5,59.22,6750,6.75,12.25,0.5411,
