survey_id,date,site,zone,plot,tree_number,tree_code,trunk_number,genus,spp,dbh_mm,health,alive,standing,old_tag,notes
October_2024,2024-10-02,BRNV,L,L0,178,L0_178_Jun,1,Juniperus,virginiana,78.0,9.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,179,L0_179_Pin,1,Pinus,taeda,361.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,180,L0_180_Jun,1,Juniperus,virginiana,190.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,181,L0_181_Jun,1,Juniperus,virginiana,64.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,182,L0_182_Jun,1,Juniperus,virginiana,178.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,183,L0_183_Jun,1,Juniperus,virginiana,173.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,184,L0_184_Jun,1,Juniperus,virginiana,109.0,0.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,185,L0_185_Jun,1,Juniperus,virginiana,95.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,186,L0_186_Jun,1,Juniperus,virginiana,80.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,187,L0_187_Pin,1,Pinus,taeda,364.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,188,L0_188_Jun,1,Juniperus,virginiana,107.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,189,L0_189_Jun,1,Juniperus,virginiana,384.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,190,L0_190_Jun,1,Juniperus,virginiana,154.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,191,L0_191_Jun,1,Juniperus,virginiana,68.0,1.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,192,L0_192_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L0,193,L0_193_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L0,194,L0_194_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L0,475,L0_475_Jun,1,Juniperus,virginiana,140.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,476,L0_476_Jun,1,Juniperus,virginiana,123.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,477,L0_477_Nys,1,Nyssa,sylvatica,101.0,1.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,478,L0_478_Jun,1,Juniperus,virginiana,125.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,5064,L0_5064_Nys,1,Nyssa,sylvatica,92.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,512,L0_512_Uni,1,Unidentifiable,spp.,,,,,,
October_2024,2024-10-02,BRNV,L,L0,905,L0_905_Pin,1,Pinus,taeda,,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,921,L0_921_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L0,922,L0_922_Pin,1,Pinus,taeda,,0.0,False,False,,
October_2024,2024-10-02,BRNV,L,L0,970,L0_970_Jun,1,Juniperus,virginiana,111.0,1.0,True,True,,posion ivy
October_2024,2024-10-02,BRNV,L,L0,971,L0_971_Jun,1,Juniperus,virginiana,51.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,989,L0_989_Pin,1,Pinus,taeda,196.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,188,L0_188_Jun,2,Juniperus,virginiana,93.0,3.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,916,L0_916_Jun,1,Juniperus,virginiana,92.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,5152,L0_5152_Mor,1,Morella,cerifera,53.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,107,L1_107_Jun,1,Juniperus,virginiana,84.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,108,L1_108_Pin,1,Pinus,taeda,318.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,109,L1_109_Jun,1,Juniperus,virginiana,226.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,110,L1_110_Pin,1,Pinus,taeda,132.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,111,L1_111_Pin,1,Pinus,taeda,255.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,112,L1_112_Jun,1,Juniperus,virginiana,144.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,113,L1_113_Pin,1,Pinus,taeda,341.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,114,L1_114_Jun,1,Juniperus,virginiana,181.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,115,L1_115_Pin,1,Pinus,taeda,119.0,1.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,116,L1_116_Jun,1,Juniperus,virginiana,168.0,5.0,,,,
October_2024,2024-10-02,BRNV,L,L1,117,L1_117_Pin,1,Pinus,taeda,,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,118,L1_118_Jun,1,Juniperus,virginiana,179.0,0.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,119,L1_119_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L1,120,L1_120_Jun,1,Juniperus,virginiana,159.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,121,L1_121_Pin,1,Pinus,taeda,141.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,122,L1_122_Jun,1,Juniperus,virginiana,71.0,2.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,123,L1_123_Jun,1,Juniperus,virginiana,128.0,7.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,124,L1_124_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L1,125,L1_125_Pin,1,Pinus,taeda,,0.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,126,L1_126_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L1,127,L1_127_Pin,1,Pinus,taeda,80.0,0.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,128,L1_128_Pin,1,Pinus,taeda,412.0,2.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,129,L1_129_Jun,1,Juniperus,virginiana,158.0,4.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,130,L1_130_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L1,131,L1_131_Jun,1,Juniperus,virginiana,112.0,7.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,132,L1_132_Jun,1,Juniperus,virginiana,177.0,4.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,133,L1_133_Jun,1,Juniperus,virginiana,94.0,0.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,134,L1_134_Jun,1,Juniperus,virginiana,124.0,6.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,135,L1_135_Jun,1,Juniperus,virginiana,132.0,5.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,136,L1_136_Jun,1,Juniperus,virginiana,71.0,4.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,137,L1_137_Pin,1,Pinus,taeda,,0.0,,False,,
October_2024,2024-10-02,BRNV,L,L1,138,L1_138_Pin,1,Pinus,taeda,196.0,0.0,,True,,
October_2024,2024-10-02,BRNV,L,L1,139,L1_139_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L1,140,L1_140_Jun,1,Juniperus,virginiana,77.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,141,L1_141_Jun,1,Juniperus,virginiana,116.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,142,L1_142_Jun,1,Juniperus,virginiana,77.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,143,L1_143_Pin,1,Pinus,taeda,301.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,144,L1_144_Nys,1,Nyssa,sylvatica,,,,,,
October_2024,2024-10-02,BRNV,L,L1,145,L1_145_Jun,1,Juniperus,virginiana,288.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,146,L1_146_Jun,1,Juniperus,virginiana,169.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,147,L1_147_Jun,1,Juniperus,virginiana,84.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,148,L1_148_Jun,1,Juniperus,virginiana,81.0,0.0,False,False,,
October_2024,2024-10-02,BRNV,L,L1,149,L1_149_Jun,1,Juniperus,virginiana,134.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,453,L1_453_Mor,1,Morella,cerifera,112.0,1.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,456,L1_456_Mor,1,Morella,cerifera,62.0,0.0,False,False,,morella
October_2024,2024-10-02,BRNV,L,L1,474,L1_474_Mor,1,Morella,cerifera,70.0,0.0,False,False,,morella
October_2024,2024-10-02,BRNV,L,L1,5024,L1_5024_Jun,1,Juniperus,virginiana,,,,,,jun.vir
October_2024,2024-10-02,BRNV,L,L1,5050,L1_5050_Uni,1,Unidentifiable,spp.,120.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,5051,L1_5051_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L1,5052,L1_5052_Jun,1,Juniperus,virginiana,169.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,5053,L1_5053_Jun,1,Juniperus,virginiana,161.0,5.0,True,True,,Jun.vir
October_2024,2024-10-02,BRNV,L,L1,5055,L1_5055_Uni,1,Unidentifiable,spp.,,,,,,
October_2024,2024-10-02,BRNV,L,L1,5056,L1_5056_Jun,1,Juniperus,virginiana,107.0,1.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,5057,L1_5057_Jun,1,Juniperus,virginiana,67.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,5058,L1_5058_Jun,1,Juniperus,virginiana,,0.0,False,True,,Jun.vir
October_2024,2024-10-02,BRNV,L,L1,5059,L1_5059_Jun,1,Juniperus,virginiana,73.0,0.0,False,True,,Jun.vir
October_2024,2024-10-02,BRNV,L,L1,5060,L1_5060_Jun,1,Juniperus,virginiana,101.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,5061,L1_5061_Jun,1,Juniperus,virginiana,136.0,2.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,5062,L1_5062_Jun,1,Juniperus,virginiana,144.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L1,5063,L1_5063_Uni,1,Unidentifiable,spp.,88.0,1.0,True,True,,Fallen still live
October_2024,2024-10-02,BRNV,L,L1,924,L1_924_Nys,1,Nyssa,sylvatica,79.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,927,L1_927_Pin,1,Pinus,taeda,260.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,5024,L1_5024_Uni,1,Unidentifiable,spp.,,,,,,
October_2024,2024-10-02,BRNV,L,L1,5054,L1_5054_Pin,1,Pinus,taeda,295.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L1,447,L1_447_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L1,5052,L1_5052_Jun,2,Juniperus,virginiana,216.0,3.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,195,L2_195_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L2,196,L2_196_Jun,1,Juniperus,virginiana,224.0,9.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,197,L2_197_Pin,1,Pinus,taeda,252.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,198,L2_198_Pin,1,Pinus,taeda,258.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,201,L2_201_Jun,1,Juniperus,virginiana,65.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,202,L2_202_Jun,1,Juniperus,virginiana,137.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,203,L2_203_Pin,1,Pinus,taeda,255.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,204,L2_204_Jun,1,Juniperus,virginiana,178.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,205,L2_205_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L2,206,L2_206_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L2,207,L2_207_Pin,1,Pinus,taeda,95.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,208,L2_208_Pin,1,Pinus,taeda,392.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,209,L2_209_Jun,1,Juniperus,virginiana,89.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,210,L2_210_Uni,1,Unidentifiable,spp.,,,,,,
October_2024,2024-10-02,BRNV,L,L2,211,L2_211_Pin,1,Pinus,taeda,177.0,3.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,212,L2_212_Jun,1,Juniperus,virginiana,86.0,3.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,213,L2_213_Pin,1,Pinus,taeda,360.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,214,L2_214_Jun,1,Juniperus,virginiana,103.0,9.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,215,L2_215_Pin,1,Pinus,taeda,325.0,0.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,216,L2_216_Pin,1,Pinus,taeda,,,,False,,confirmed fallen
October_2024,2024-10-02,BRNV,L,L2,217,L2_217_Jun,1,Juniperus,virginiana,220.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,218,L2_218_Pin,1,Pinus,taeda,428.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,219,L2_219_Jun,1,Juniperus,virginiana,155.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,220,L2_220_Jun,1,Juniperus,virginiana,52.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,221,L2_221_Pin,1,Pinus,taeda,270.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,222,L2_222_Pin,1,Pinus,taeda,237.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,223,L2_223_Jun,1,Juniperus,virginiana,183.0,4.0,True,True,,wtf is the history
October_2024,2024-10-02,BRNV,L,L2,224,L2_224_Jun,1,Juniperus,virginiana,105.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,225,L2_225_Pin,1,Pinus,taeda,315.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,226,L2_226_Jun,1,Juniperus,virginiana,88.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,227,L2_227_Nys,1,Nyssa,sylvatica,,,,,,
October_2024,2024-10-02,BRNV,L,L2,228,L2_228_Pin,1,Pinus,taeda,310.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,229,L2_229_Jun,1,Juniperus,virginiana,138.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,230,L2_230_Jun,1,Juniperus,virginiana,127.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,231,L2_231_Jun,1,Juniperus,virginiana,74.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,232,L2_232_Jun,1,Juniperus,virginiana,130.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,233,L2_233_Uni,1,Unidentifiable,spp.,,,,,,
October_2024,2024-10-02,BRNV,L,L2,234,L2_234_Pin,1,Pinus,taeda,,,,False,,confirmed fallen
October_2024,2024-10-02,BRNV,L,L2,235,L2_235_Pin,1,Pinus,taeda,344.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,236,L2_236_Jun,1,Juniperus,virginiana,61.0,0.0,False,False,,
October_2024,2024-10-02,BRNV,L,L2,237,L2_237_Pin,1,Pinus,taeda,411.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,238,L2_238_Jun,1,Juniperus,virginiana,,0.0,False,True,,posion ivy
October_2024,2024-10-02,BRNV,L,L2,239,L2_239_Nys,1,Nyssa,sylvatica,132.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,240,L2_240_Nys,1,Nyssa,sylvatica,145.0,1.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,241,L2_241_Pin,1,Pinus,taeda,342.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,242,L2_242_Jun,1,Juniperus,virginiana,155.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,496,L2_496_Jun,1,Juniperus,virginiana,120.0,5.0,True,True,,leaning now
October_2024,2024-10-02,BRNV,L,L2,5041,L2_5041_Jun,1,Juniperus,virginiana,152.0,9.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,5042,L2_5042_Jun,1,Juniperus,virginiana,184.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,5043,L2_5043_Pin,1,Pinus,taeda,174.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,5044,L2_5044_Jun,1,Juniperus,virginiana,41.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,928,L2_928_Jun,1,Juniperus,virginiana,75.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,227,L2_227_Nys,2,Nyssa,sylvatica,,,,,,
October_2024,2024-10-02,BRNV,L,L2,497,L2_497_Mor,1,Morella,cerifera,100.0,3.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,804,L2_804_Mor,1,Morella,cerifera,60.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L2,611,L2_611_Mor,1,Morella,cerifera,94.0,3.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,816,L2_816_Mor,1,Morella,cerifera,59.0,3.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,609,L2_609_Mor,1,Morella,cerifera,54.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,614,L2_614_Mor,1,Morella,cerifera,78.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L2,578,L2_578_Mor,1,Morella,cerifera,76.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,1000,L3_1000_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L3,199,L3_199_Jun,1,Juniperus,virginiana,111.0,3.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,200,L3_200_Pin,1,Pinus,taeda,448.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,274,L3_274_Nys,1,Nyssa,sylvatica,156.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,275,L3_275_Jun,1,Juniperus,virginiana,225.0,7.0,True,True,,knot
October_2024,2024-10-02,BRNV,L,L3,276,L3_276_Jun,1,Juniperus,virginiana,107.0,2.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,277,L3_277_Nys,1,Nyssa,sylvatica,,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,278,L3_278_Jun,1,Juniperus,virginiana,141.0,9.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,279,L3_279_Pin,1,Pinus,taeda,400.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,280,L3_280_Jun,1,Juniperus,virginiana,166.0,8.0,True,True,,vine
October_2024,2024-10-02,BRNV,L,L3,281,L3_281_Nys,1,Nyssa,sylvatica,156.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,282,L3_282_Jun,1,Juniperus,virginiana,155.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,283,L3_283_Jun,1,Juniperus,virginiana,110.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,284,L3_284_Jun,1,Juniperus,virginiana,,0.0,False,False,,
October_2024,2024-10-02,BRNV,L,L3,285,L3_285_Jun,1,Juniperus,virginiana,,0.0,False,False,,
October_2024,2024-10-02,BRNV,L,L3,286,L3_286_Jun,1,Juniperus,virginiana,152.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,287,L3_287_Pin,1,Pinus,taeda,327.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,288,L3_288_Pin,1,Pinus,taeda,339.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,289,L3_289_Jun,1,Juniperus,virginiana,47.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,290,L3_290_Jun,1,Juniperus,virginiana,72.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,291,L3_291_Jun,1,Juniperus,virginiana,95.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,292,L3_292_Pin,1,Pinus,taeda,,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,293,L3_293_Jun,1,Juniperus,virginiana,305.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,294,L3_294_Pin,1,Pinus,taeda,405.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,295,L3_295_Pin,1,Pinus,taeda,339.0,3.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,296,L3_296_Jun,1,Juniperus,virginiana,122.0,6.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,297,L3_297_Jun,1,Juniperus,virginiana,57.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,298,L3_298_Jun,1,Juniperus,virginiana,64.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,299,L3_299_Jun,1,Juniperus,virginiana,138.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,300,L3_300_Jun,1,Juniperus,virginiana,74.0,5.0,True,True,,tree fell on it
October_2024,2024-10-02,BRNV,L,L3,301,L3_301_Nys,1,Nyssa,sylvatica,,,,,,
October_2024,2024-10-02,BRNV,L,L3,302,L3_302_Nys,1,Nyssa,sylvatica,,,,,,
October_2024,2024-10-02,BRNV,L,L3,303,L3_303_Jun,1,Juniperus,virginiana,65.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,304,L3_304_Jun,1,Juniperus,virginiana,145.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,305,L3_305_Jun,1,Juniperus,virginiana,163.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,306,L3_306_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L3,307,L3_307_Nys,1,Nyssa,sylvatica,142.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,498,L3_498_Jun,1,Juniperus,virginiana,94.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,499,L3_499_Jun,1,Juniperus,virginiana,103.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,5065,L3_5065_Pin,1,Pinus,taeda,,0.0,False,True,,broken
October_2024,2024-10-02,BRNV,L,L3,5066,L3_5066_Jun,1,Juniperus,virginiana,124.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,5067,L3_5067_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L3,5068,L3_5068_Pin,1,Pinus,taeda,385.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,5069,L3_5069_Nys,1,Nyssa,sylvatica,,,,,,
October_2024,2024-10-02,BRNV,L,L3,5853,L3_5853_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L3,5877,L3_5877_Nys,1,Nyssa,sylvatica,113.0,0.0,False,True,,spp change
October_2024,2024-10-02,BRNV,L,L3,5878,L3_5878_Pin,1,Pinus,taeda,391.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,5879,L3_5879_Jun,1,Juniperus,virginiana,97.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L3,5881,L3_5881_Pin,1,Pinus,taeda,364.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L3,5881,L3_5881_Uni,1,Unidentifiable,spp.,,0.0,False,True,,"error? (pointing to ""30/10/1/NA"")"
