plot,sample,year,month,date,ppt
H6,A,2021,8,8/8/21,3.21
H6,A,2020,10,10/28/20,5.18
H7,C,2019,7,7/24/19,0.87
H7,C,2019,10,10/29/19,9.58
H7,C,2021,8,8/8/21,0.67
H7,C,2020,10,10/28/20,1.59
H7,B,2019,7,7/24/19,1.89
H7,B,2019,10,10/29/19,7.41
H7,B,2021,8,8/8/21,1.87
H7,B,2020,10,10/28/20,3.3
H7,A,2019,7,7/24/19,1.67
H7,A,2019,10,10/29/19,9.05
H7,A,2021,8,8/8/21,1.53
H7,A,2020,10,10/28/20,2.14
L0,D,2021,8,8/8/21,4.94
L0,C,2019,7,7/24/19,4.73
L0,C,2019,10,10/29/19,16.6
L0,C,2021,8,8/8/21,8.41
L0,C,2020,10,10/28/20,10.9
L0,B,2019,7,7/24/19,3.69
L0,B,2019,10,10/29/19,12.9
L0,B,2021,8,8/8/21,5.84
L0,B,2020,10,10/28/20,9.23
L0,A,2019,7,7/24/19,2.18
L0,A,2019,10,10/29/19,15.7
L0,A,2021,8,8/8/21,6.26
L0,A,2020,10,10/28/20,3.73
L1,F,2021,8,8/8/21,3.85
L1,D,2021,8,8/8/21,2.67
L1,C,2019,7,7/24/19,3.99
L1,C,2019,10,10/29/19,18.2
L1,C,2021,8,8/8/21,6.46
L1,C,2020,10,10/28/20,11.1
L1,B,2019,7,7/24/19,6.07
L1,B,2019,10,10/29/19,19.9
L1,B,2021,8,8/8/21,5.46
L1,B,2020,10,10/28/20,10.4
L1,A,2019,7,7/24/19,7
L1,A,2019,10,10/29/19,22.2
L1,A,2021,8,8/8/21,3.45
L1,A,2020,10,10/28/20,NA
L2,C,2019,7,7/24/19,4.54
L2,C,2019,10,10/29/19,19.6
L2,C,2021,8,8/8/21,3.16
L2,C,2020,10,10/28/20,6.76
L2,B,2019,7,7/24/19,3.91
L2,B,2019,10,10/29/19,15.9
L2,B,2021,8,8/8/21,4.07
L2,B,2020,10,10/28/20,6.57
L2,A,2019,7,7/24/19,3.81
L2,A,2019,10,10/29/19,13
L2,A,2021,8,8/8/21,3.09
L2,A,2020,10,10/28/20,11.2
L3,C,2019,7,7/24/19,4.91
L3,C,2019,10,10/29/19,17.3
L3,C,2021,8,8/8/21,6.64
L3,C,2020,10,10/28/20,9.57
L3,B,2019,7,7/24/19,4.54
L3,B,2019,10,10/29/19,19.2
L3,B,2021,8,8/8/21,5.75
L3,B,2020,10,10/28/20,10.6
L3,A,2019,7,7/24/19,4.2
L3,A,2019,10,10/29/19,17.7
L3,A,2021,8,8/8/21,6.01
L3,A,2020,10,10/28/20,7.67
L4,C,2019,7,7/24/19,3.45
L4,C,2019,10,10/29/19,18.9
L4,C,2021,8,8/8/21,1.57
L4,C,2020,10,10/28/20,6.19
L4,B,2019,7,7/24/19,3.5
L4,B,2019,10,10/29/19,19.2
L4,B,2021,8,8/8/21,3.41
L4,B,2020,10,10/28/20,10.4
L4,A,2019,7,7/24/19,4.63
L4,A,2019,10,10/29/19,17.6
L4,A,2021,8,8/8/21,2.23
L4,A,2020,10,10/28/20,6.41
L5,C,2019,7,7/24/19,2.34
L5,C,2019,10,10/29/19,15.8
L5,C,2021,8,8/8/21,5.98
L5,C,2020,10,10/28/20,11.7
L5,B,2019,7,7/24/19,3.06
L5,B,2019,10,10/29/19,14.8
L5,B,2021,8,8/8/21,5.38
L5,B,2020,10,10/28/20,5.25
L5,A,2019,7,7/24/19,3.25
L5,A,2019,10,10/29/19,16.2
L5,A,2021,8,8/8/21,3.36
L5,A,2020,10,10/28/20,4.26
L6,C,2019,7,7/24/19,2.91
L6,C,2019,10,10/29/19,14.1
L6,C,2021,8,8/8/21,4.15
L6,C,2020,10,10/28/20,9.88
L6,B,2019,7,7/24/19,3.19
L6,B,2019,10,10/29/19,14.9
L6,B,2021,8,8/8/21,5.45
L6,B,2020,10,10/28/20,9.17
L6,A,2019,7,7/24/19,3.21
L6,A,2019,10,10/29/19,10.3
L6,A,2021,8,8/8/21,6.67
L6,A,2020,10,10/28/20,7.3
L7,D,2021,8,8/8/21,9.45
L7,C,2019,7,7/24/19,4.6
L7,C,2019,10,10/29/19,12.2
L7,C,2021,8,8/8/21,2.92
L7,C,2020,10,10/28/20,6.74
L7,B,2019,7,7/24/19,4.2
L7,B,2019,10,10/29/19,15.4
L7,B,2021,8,8/8/21,5.32
L7,B,2020,10,10/28/20,5.34
L7,A,2019,7,7/24/19,4.58
L7,A,2019,10,10/29/19,15.1
L7,A,2021,8,8/8/21,9.92
L7,A,2020,10,10/28/20,4.49
M0,C,2019,7,7/24/19,2.06
M0,C,2019,10,10/29/19,10.2
M0,C,2021,8,8/8/21,2.97
M0,C,2020,10,10/28/20,1.97
M0,B,2019,7,7/24/19,1.46
M0,B,2019,10,10/29/19,8.64
M0,B,2021,8,8/8/21,1.79
M0,B,2020,10,10/28/20,1.84
M0,A,2019,7,7/24/19,1.35
M0,A,2019,10,10/29/19,9.71
M0,A,2021,8,8/8/21,3.34
M0,A,2020,10,10/28/20,2.23
M1,C,2019,7,7/24/19,3.14
M1,C,2019,10,10/29/19,12.2
M1,C,2021,8,8/8/21,3.81
M1,C,2020,10,10/28/20,3.34
M1,B,2019,7,7/24/19,2.41
M1,B,2019,10,10/29/19,14.3
M1,B,2021,8,8/8/21,2.01
M1,B,2020,10,10/28/20,3.68
M1,A,2019,7,7/24/19,2.11
M1,A,2019,10,10/29/19,13.4
M1,A,2021,8,8/8/21,4.47
M1,A,2020,10,10/28/20,2.19
M2,D,2021,8,8/8/21,2.37
M2,C,2019,7,7/24/19,1.53
M2,C,2019,10,10/29/19,14.8
M2,C,2021,8,8/8/21,2.3
M2,C,2020,10,10/28/20,3.69
M2,B,2019,7,7/24/19,1.95
M2,B,2019,10,10/29/19,7.96
M2,B,2021,8,8/8/21,1.42
M2,B,2020,10,10/28/20,3.2
M2,A,2019,7,7/24/19,1.5
M2,A,2019,10,10/29/19,15.1
M2,A,2021,8,8/8/21,2.08
M2,A,2020,10,10/28/20,2.59
M3,A,2021,8,8/8/21,4.24
M3,C,2021,8,8/8/21,2.61
M3,G,2021,8,8/8/21,3.48
M3,B,2021,8,8/8/21,6.27
M3,D,2021,8,8/8/21,2.03
M3,C,2019,7,7/24/19,1.69
M3,C,2019,10,10/29/19,12.1
M3,C,2021,8,8/8/21,2.72
M3,C,2020,10,10/28/20,3.09
M3,B,2019,7,7/24/19,1.84
M3,B,2019,10,10/29/19,13.2
M3,B,2021,8,8/8/21,3.55
M3,B,2020,10,10/28/20,2.96
M3,A,2019,7,7/24/19,1.97
M3,A,2019,10,10/29/19,12
M3,A,2021,8,8/8/21,5.89
M3,A,2020,10,10/28/20,4.4
M4,C,2019,7,7/24/19,2.01
M4,C,2019,10,10/29/19,12.3
M4,C,2021,8,8/8/21,2.87
M4,C,2020,10,10/28/20,2.9
M4,B,2019,7,7/24/19,1.74
M4,B,2019,10,10/29/19,7.58
M4,B,2021,8,8/8/21,2.05
M4,B,2020,10,10/28/20,1.8
M4,A,2019,7,7/24/19,1.71
M4,A,2019,10,10/29/19,12.1
M4,A,2021,8,8/8/21,2.09
M4,A,2020,10,10/28/20,1.37
M5,D,2021,8,8/8/21,4.55
M5,C,2019,7,7/24/19,1.73
M5,C,2019,10,10/29/19,11.9
M5,C,2021,8,8/8/21,2.35
M5,C,2020,10,10/28/20,3.07
M5,B,2019,7,7/24/19,1.62
M5,B,2019,10,10/29/19,13.3
M5,B,2021,8,8/8/21,2.57
M5,B,2020,10,10/28/20,3.13
M5,A,2019,7,7/24/19,1.91
M5,A,2019,10,10/29/19,12.8
M5,A,2021,8,8/8/21,5.07
M5,A,2020,10,10/28/20,4
M6,D,2021,8,8/8/21,2.48
M6,C,2019,7,7/24/19,1.22
M6,C,2019,10,10/29/19,13
M6,C,2021,8,8/8/21,2.81
M6,C,2020,10,10/28/20,3.73
M6,B,2019,7,7/24/19,1.88
M6,B,2019,10,10/29/19,13.9
M6,B,2021,8,8/8/21,3.39
M6,B,2020,10,10/28/20,3.39
M6,A,2019,7,7/24/19,2.01
M6,A,2019,10,10/29/19,12.4
M6,A,2021,8,8/8/21,2.77
M6,A,2020,10,10/28/20,4.05
M7,C,2019,7,7/24/19,4.63
M7,C,2019,10,10/29/19,11.9
M7,C,2021,8,8/8/21,0.69
M7,C,2020,10,10/28/20,5.45
M7,B,2019,7,7/24/19,1.79
M7,B,2019,10,10/29/19,13.9
M7,B,2021,8,8/8/21,1.24
M7,B,2020,10,10/28/20,6.41
M7,A,2019,7,7/24/19,2.95
M7,A,2019,10,10/29/19,15.8
M7,A,2021,8,8/8/21,2.02
M7,A,2020,10,10/28/20,4.76
H0,A,2023,8,8/1/23,0.47
H0,B,2023,8,8/1/23,0.52
H1,A,2023,8,8/1/23,2.23
H1,B,2023,8,8/1/23,0.59
H1,C,2023,8,8/1/23,0.63
H2,A,2023,8,8/1/23,1.39
H2,B,2023,8,8/1/23,1.11
H3,A,2023,8,8/1/23,1.55
H3,B,2023,8,8/1/23,1.22
H5,A,2023,8,8/1/23,1.05
H5,B,2023,8,8/1/23,1.23
H6,A,2023,8,8/1/23,4.26
H6,B,2023,8,8/1/23,2.75
H7,A,2023,8,8/1/23,1.2
H7,B,2023,8,8/1/23,1.02
H7,C,2023,8,8/1/23,1.14
H,C,2023,8,8/1/23,1.18
L0,A,2023,8,8/1/23,9.89
L0,B,2023,8,8/1/23,6.46
L0,C,2023,8,8/1/23,6.62
L1,A,2023,8,8/1/23,5.43
L1,B,2023,8,8/1/23,7.97
L1,C,2023,8,8/1/23,5.38
L2,A,2023,8,8/1/23,8
L2,B,2023,8,8/1/23,5.79
L2,C,2023,8,8/1/23,13.17
L3,A,2023,8,8/1/23,7.1
L3,B,2023,8,8/1/23,5.23
L3,C,2023,8,8/1/23,5.37
L4,A,2023,8,8/1/23,2.77
L4,B,2023,8,8/1/23,4.31
L4,C,2023,8,8/1/23,5.63
L5,A,2023,8,8/1/23,3.43
L5,B,2023,8,8/1/23,5.55
L5,C,2023,8,8/1/23,3.84
L6,A,2023,8,8/1/23,6.29
L6,B,2023,8,8/1/23,7.6
L6,B,2023,8,8/1/23,7.47
L7,A,2023,8,8/1/23,5.04
L7,B,2023,8,8/1/23,4.2
L7,C,2023,8,8/1/23,6.3
M0,A,2023,8,8/1/23,1.61
M0,B,2023,8,8/1/23,1.33
M1,A,2023,8,8/1/23,3.11
M1,B,2023,8,8/1/23,4.12
M1,C,2023,8,8/1/23,NA
M1,D,2023,8,8/1/23,0.64
M2,A,2023,8,8/1/23,3.26
M2,B,2023,8,8/1/23,2.24
M2,C,2023,8,8/1/23,3.73
M3,A,2023,8,8/1/23,3.59
M3,B,2023,8,8/1/23,4.64
M3,C,2023,8,8/1/23,5.05
M4,A,2023,8,8/1/23,2.96
M4,B,2023,8,8/1/23,3.05
M4,C,2023,8,8/1/23,2.25
M5,A,2023,8,8/1/23,5.98
M5,C,2023,8,8/1/23,2.54
M6,A,2023,8,8/1/23,2.3
M6,B,2023,8,8/1/23,3.63
M6,C,2023,8,8/1/23,2.65
M7,A,2023,8,8/1/23,4.01
M7,B,2023,8,8/1/23,2.77
M7,C,2023,8,8/1/23,4.62
H2,C,2023,8,8/1/23,1.21
H3,C,2023,8,8/1/23,1.55
M5,B,2023,8,8/1/23,4.58
H0,C,2023,8,8/1/23,1.24
H1,D,2023,8,8/1/23,0.5
